time,open,high,low,close,tick_volume,spread,real_volume
2026-04-02 17:00:00,1.15311,1.15639,1.15259,1.15511,12013,0,0
2026-04-02 18:00:00,1.15511,1.15585,1.1541299999999999,1.1545,8617,0,0
2026-04-02 19:00:00,1.1545,1.15479,1.15389,1.15392,5578,0,0
2026-04-02 20:00:00,1.15392,1.15491,1.15351,1.15374,3846,0,0
2026-04-02 21:00:00,1.15374,1.15399,1.15322,1.15361,2910,0,0
2026-04-02 22:00:00,1.15361,1.1543700000000001,1.15332,1.15346,2725,0,0
2026-04-02 23:00:00,1.15345,1.15395,1.15313,1.15382,1303,3,0
2026-04-03 00:00:00,1.15382,1.15425,1.15019,1.15404,920,3,0
2026-04-03 01:00:00,1.15404,1.15415,1.15371,1.15398,634,3,0
2026-04-03 02:00:00,1.15398,1.15428,1.15388,1.15409,492,2,0
2026-04-03 03:00:00,1.15409,1.1545,1.15379,1.1538,1124,1,0
2026-04-03 04:00:00,1.1538,1.15398,1.15332,1.1535,1306,1,0
2026-04-03 05:00:00,1.1535,1.15383,1.15313,1.1536,1029,0,0
2026-04-03 06:00:00,1.1536,1.15375,1.15331,1.15362,697,2,0
2026-04-03 07:00:00,1.15362,1.15363,1.15328,1.15328,1135,0,0
2026-04-03 08:00:00,1.15328,1.15381,1.15288,1.1538,1375,1,0
2026-04-03 09:00:00,1.1538,1.15406,1.15345,1.15392,980,0,0
2026-04-03 10:00:00,1.15392,1.15463,1.15389,1.15427,1232,0,0
2026-04-03 11:00:00,1.15427,1.15453,1.15392,1.15429,1128,1,0
2026-04-03 12:00:00,1.15429,1.15454,1.15402,1.15423,1207,0,0
2026-04-03 13:00:00,1.15423,1.1549,1.1541,1.15438,1222,0,0
2026-04-03 14:00:00,1.15446,1.15466,1.15399,1.1544,1492,0,0
2026-04-03 15:00:00,1.1544,1.15459,1.1518,1.15307,4803,0,0
2026-04-03 16:00:00,1.15307,1.1538599999999999,1.1527,1.15338,2369,0,0
2026-04-03 17:00:00,1.15345,1.15365,1.15198,1.1521,2304,0,0
2026-04-03 18:00:00,1.1521,1.15278,1.15188,1.1522000000000001,3778,0,0
2026-04-03 19:00:00,1.15221,1.15223,1.15176,1.15189,3188,0,0
2026-04-03 20:00:00,1.15189,1.15218,1.15177,1.15201,2388,0,0
2026-04-03 21:00:00,1.15201,1.15213,1.1513200000000001,1.15145,1660,0,0
2026-04-03 22:00:00,1.15145,1.15158,1.15128,1.15144,531,0,0
2026-04-03 23:00:00,1.15143,1.15312,1.15099,1.15105,2017,0,0
2026-04-06 00:00:00,1.15195,1.15235,1.15194,1.15205,506,2,0
